Date,U.S. Field Production of Crude Oil (Thousand Barrels)
Jan-1986,283248.0
Feb-1986,256855.0
Mar-1986,279413.0
Apr-1986,265917.0
May-1986,273964.0
Jun-1986,258700.0
Jul-1986,268448.0
Aug-1986,259580.0
Sep-1986,249843.0
Oct-1986,260984.0
Nov-1986,252374.0
Dec-1986,258926.0
Jan-1987,262888.0
Feb-1987,234880.0
Mar-1987,262398.0
Apr-1987,254945.0
May-1987,258426.0
Jun-1987,248356.0
Jul-1987,255782.0
Aug-1987,254508.0
Sep-1987,246163.0
Oct-1987,259272.0
Nov-1987,251915.0
Dec-1987,257844.0
Jan-1988,255743.0
Feb-1988,242848.0
Mar-1988,259587.0
Apr-1988,248629.0
May-1988,255089.0
Jun-1988,245102.0
Jul-1988,249229.0
Aug-1988,250459.0
Sep-1988,236847.0
Oct-1988,248704.0
Nov-1988,240700.0
Dec-1988,246189.0
Jan-1989,246056.0
Feb-1989,218076.0
Mar-1989,234822.0
Apr-1989,233147.0
May-1989,242303.0
Jun-1989,228731.0
Jul-1989,230766.0
Aug-1989,233878.0
Sep-1989,226436.0
Oct-1989,231036.0
Nov-1989,226082.0
Dec-1989,227439.0
Jan-1990,233931.0
Feb-1990,209923.0
Mar-1990,230434.0
Apr-1990,222215.0
May-1990,227179.0
Jun-1990,213175.0
Jul-1990,222371.0
Aug-1990,225886.0
Sep-1990,216715.0
Oct-1990,233799.0
Nov-1990,221598.0
Dec-1990,227463.0
Jan-1991,232498.0
Feb-1991,213836.0
Mar-1991,233926.0
Apr-1991,225256.0
May-1991,229670.0
Jun-1991,219610.0
Jul-1991,227756.0
Aug-1991,226801.0
Sep-1991,221029.0
Oct-1991,230557.0
Nov-1991,219833.0
Dec-1991,226267.0
Jan-1992,228178.0
Feb-1992,214269.0
Mar-1992,227798.0
Apr-1992,218775.0
May-1992,222227.0
Jun-1992,215019.0
Jul-1992,221064.0
Aug-1992,214575.0
Sep-1992,210904.0
Oct-1992,220898.0
Nov-1992,210724.0
Dec-1992,220200.0
Jan-1993,215791.0
Feb-1993,194393.0
Mar-1993,216198.0
Apr-1993,206439.0
May-1993,212255.0
Jun-1993,203842.0
Jul-1993,207339.0
Aug-1993,209492.0
Sep-1993,201347.0
Oct-1993,212003.0
Nov-1993,207349.0
Dec-1993,212585.0
Jan-1994,211320.0
Feb-1994,189569.0
Mar-1994,209114.0
Apr-1994,198363.0
May-1994,207334.0
Jun-1994,198318.0
Jul-1994,201527.0
Aug-1994,202869.0
Sep-1994,198264.0
Oct-1994,206398.0
Nov-1994,198850.0
Dec-1994,209550.0
Jan-1995,207148.0
Feb-1995,190245.0
Mar-1995,204613.0
Apr-1995,198111.0
May-1995,205509.0
Jun-1995,197359.0
Jul-1995,199912.0
Aug-1995,199846.0
Sep-1995,192484.0
Oct-1995,199055.0
Nov-1995,197559.0
Dec-1995,202428.0
Jan-1996,201354.0
Feb-1996,190727.0
Mar-1996,203715.0
Apr-1996,193317.0
May-1996,198208.0
Jun-1996,193746.0
Jul-1996,196471.0
Aug-1996,197162.0
Sep-1996,194456.0
Oct-1996,200907.0
Nov-1996,194268.0
Dec-1996,201685.0
Jan-1997,198466.0
Feb-1997,182400.0
Mar-1997,200013.0
Apr-1997,193239.0
May-1997,200702.0
Jun-1997,193252.0
Jul-1997,198691.0
Aug-1997,196769.0
Sep-1997,194575.0
Oct-1997,200482.0
Nov-1997,193778.0
Dec-1997,202464.0
Jan-1998,202756.0
Feb-1998,181321.0
Mar-1998,198639.0
Apr-1998,194483.0
May-1998,196754.0
Jun-1998,188018.0
Jul-1998,192026.0
Aug-1998,192282.0
Sep-1998,173676.0
Oct-1998,190420.0
Nov-1998,184198.0
Dec-1998,187347.0
Jan-1999,184864.0
Feb-1999,167034.0
Mar-1999,182362.0
Apr-1999,176616.0
May-1999,182122.0
Jun-1999,172808.0
Jul-1999,179738.0
Aug-1999,179187.0
Sep-1999,174113.0
Oct-1999,184361.0
Nov-1999,178811.0
Dec-1999,184716.0
Jan-2000,179316.0
Feb-2000,169703.0
Mar-2000,183464.0
Apr-2000,175625.0
May-2000,181242.0
Jun-2000,174686.0
Jul-2000,177920.0
Aug-2000,179451.0
Sep-2000,172731.0
Oct-2000,180080.0
Nov-2000,174980.0
Dec-2000,181508.0
Jan-2001,179767.0
Feb-2001,161843.0
Mar-2001,182290.0
Apr-2001,175879.0
May-2001,180712.0
Jun-2001,172974.0
Jul-2001,178208.0
Aug-2001,177488.0
Sep-2001,171270.0
Oct-2001,178129.0
Nov-2001,176441.0
Dec-2001,182511.0
Jan-2002,182076.0
Feb-2002,164666.0
Mar-2002,182460.0
Apr-2002,175333.0
May-2002,183057.0
Jun-2002,176532.0
Jul-2002,178275.0
Aug-2002,179670.0
Sep-2002,162336.0
Oct-2002,166105.0
Nov-2002,168706.0
Dec-2002,177372.0
Jan-2003,178412.0
Feb-2003,161920.0
Mar-2003,179907.0
Apr-2003,171774.0
May-2003,175568.0
Jun-2003,169772.0
Jul-2003,170452.0
Aug-2003,172787.0
Sep-2003,168270.0
Oct-2003,174020.0
Nov-2003,166397.0
Dec-2003,172715.0
Jan-2004,173132.0
Feb-2004,161583.0
Mar-2004,174115.0
Apr-2004,166810.0
May-2004,172235.0
Jun-2004,162208.0
Jul-2004,170011.0
Aug-2004,165072.0
Sep-2004,152444.0
Oct-2004,160270.0
Nov-2004,162699.0
Dec-2004,170815.0
Jan-2005,168831.0
Feb-2005,154038.0
Mar-2005,173626.0
Apr-2005,166885.0
May-2005,173491.0
Jun-2005,163263.0
Jul-2005,162854.0
Aug-2005,161153.0
Sep-2005,126417.0
Oct-2005,141200.0
Nov-2005,145708.0
Dec-2005,154630.0
Jan-2006,156480.0
Feb-2006,140894.0
Mar-2006,155842.0
Apr-2006,152450.0
May-2006,159667.0
Jun-2006,154884.0
Jul-2006,157919.0
Aug-2006,156232.0
Sep-2006,150926.0
Oct-2006,158353.0
Nov-2006,151926.0
Dec-2006,160768.0
Jan-2007,158342.0
Feb-2007,143301.0
Mar-2007,158697.0
Apr-2007,155407.0
May-2007,161548.0
Jun-2007,152254.0
Jul-2007,156175.0
Aug-2007,154060.0
Sep-2007,147061.0
Oct-2007,155680.0
Nov-2007,151021.0
Dec-2007,158427.0
Jan-2008,158566.0
Feb-2008,149297.0
Mar-2008,160868.0
Apr-2008,155403.0
May-2008,159437.0
Jun-2008,154133.0
Jul-2008,160481.0
Aug-2008,155092.0
Sep-2008,119208.0
Oct-2008,146868.0
Nov-2008,152343.0
Dec-2008,158183.0
Jan-2009,159467.0
Feb-2009,146698.0
Mar-2009,161776.0
Apr-2009,158344.0
May-2009,166684.0
Jun-2009,158079.0
Jul-2009,167336.0
Aug-2009,167945.0
Sep-2009,166765.0
Oct-2009,171258.0
Nov-2009,161838.0
Dec-2009,169004.0
Jan-2010,167529.0
Feb-2010,155496.0
Mar-2010,170976.0
Apr-2010,161769.0
May-2010,167427.0
Jun-2010,161385.0
Jul-2010,164234.0
Aug-2010,168867.0
Sep-2010,168473.0
Oct-2010,174547.0
Nov-2010,167272.0
Dec-2010,173831.0
Jan-2011,170393.0
Feb-2011,151354.0
Mar-2011,174158.0
Apr-2011,166858.0
May-2011,174363.0
Jun-2011,167673.0
Jul-2011,168635.0
Aug-2011,175618.0
Sep-2011,168411.0
Oct-2011,182977.0
Nov-2011,181157.0
Dec-2011,189487.0
Jan-2012,191439.0
Feb-2012,181759.0
Mar-2012,196116.0
Apr-2012,189590.0
May-2012,197441.0
Jun-2012,188255.0
Jul-2012,199361.0
Aug-2012,196854.0
Sep-2012,197923.0
Oct-2012,216041.0
Nov-2012,212424.0
Dec-2012,220259.0
Jan-2013,219590.0
Feb-2013,200376.0
Mar-2013,223674.0
Apr-2013,221261.0
May-2013,227152.0
Jun-2013,218381.0
Jul-2013,233238.0
Aug-2013,233609.0
Sep-2013,235183.0
Oct-2013,240594.0
Nov-2013,237602.0
Dec-2013,245947.0
Jan-2014,250425.0
Feb-2014,228401.0
Mar-2014,257220.0
Apr-2014,255795.0
May-2014,267996.0
Jun-2014,262288.0
Jul-2014,274131.0
Aug-2014,276813.0
Sep-2014,272571.0
Oct-2014,287193.0
Nov-2014,279793.0
Dec-2014,296480.0
Jan-2015,290856.0
Feb-2015,266115.0
Mar-2015,297040.0
Apr-2015,289735.0
May-2015,293683.0
Jun-2015,280747.0
Jul-2015,292813.0
Aug-2015,291691.0
Sep-2015,284398.0
Oct-2015,291410.0
Nov-2015,279975.0
Dec-2015,287528.0
Jan-2016,285245.0
Feb-2016,262841.0
Mar-2016,281716.0
Apr-2016,266122.0
May-2016,273781.0
Jun-2016,260163.0
Jul-2016,268470.0
Aug-2016,269331.0
Sep-2016,256249.0
Oct-2016,272860.0
Nov-2016,267035.0
Dec-2016,273244.0
Jan-2017,275058.0
Feb-2017,255059.0
Mar-2017,284208.0
Apr-2017,273090.0
May-2017,284718.0
Jun-2017,273309.0
Jul-2017,286635.0
Aug-2017,286596.0
Sep-2017,285487.0
Oct-2017,299429.0
Nov-2017,302310.0
Dec-2017,309359.0
Jan-2018,309881.0
Feb-2018,287727.0
Mar-2018,324296.0
Apr-2018,314803.0
May-2018,323159.0
Jun-2018,318837.0
Jul-2018,337540.0
Aug-2018,352575.0
Sep-2018,342660.0
Oct-2018,356138.0
Nov-2018,356028.0
Dec-2018,369644.0
Jan-2019,367286.0
Feb-2019,326272.0
Mar-2019,368867.0
Apr-2019,363737.0
May-2019,376362.0
Jun-2019,365366.0
Jul-2019,368765.0
Aug-2019,386725.0
Sep-2019,377169.0
Oct-2019,395900.0
Nov-2019,388984.0
Dec-2019,400219.0
Jan-2020,396329.0
Feb-2020,371949.0
Mar-2020,397298.0
Apr-2020,357344.0
May-2020,301045.0
Jun-2020,312593.0
Jul-2020,339651.0
Aug-2020,327285.0
Sep-2020,326042.0
Oct-2020,322816.0
Nov-2020,333621.0
Dec-2020,343591.0
Jan-2021,342747.0
Feb-2021,273646.0
Mar-2021,345946.0
Apr-2021,336905.0
May-2021,351346.0
Jun-2021,338645.0
Jul-2021,351228.0
Aug-2021,347393.0
Sep-2021,324654.0
Oct-2021,355670.0
